#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 09 03 00 230  8.8  9.8    MM    MM    MM  MM 1011.6  27.1  28.2  24.8   MM +1.3    MM
2017 06 09 02 00 230  7.7  8.2    MM    MM    MM  MM 1011.0  27.4  28.1  24.3   MM +1.0    MM
2017 06 09 01 00 220  7.2  8.8    MM    MM    MM  MM 1010.5  27.3  28.1  24.1   MM +0.7    MM
2017 06 09 00 00 220  6.7  7.7    MM    MM    MM  MM 1010.3  27.4  28.2  24.5   MM -0.0    MM
2017 06 08 23 00 220  3.1  3.6    MM    MM    MM  MM 1010.0  26.9  28.2  24.0   MM +0.0    MM
2017 06 08 22 00 260  6.7  7.7    MM    MM    MM  MM 1009.8  26.3  28.2  23.7   MM -0.7    MM
2017 06 08 21 00 220  7.2  8.2    MM    MM    MM  MM 1010.1  28.1  28.4  24.9   MM -0.7    MM
2017 06 08 20 00 210  7.2  8.2    MM    MM    MM  MM 1010.0  28.0  28.5  23.8   MM -1.4    MM
2017 06 08 19 00 210  9.3 10.3    MM    MM    MM  MM 1010.5  27.5  28.5  24.0   MM -1.1    MM
2017 06 08 18 00 200  8.8  9.8    MM    MM    MM  MM 1010.8  27.1  28.2  24.5   MM -0.6    MM
2017 06 08 17 00 210  9.8 11.3    MM    MM    MM  MM 1011.4  27.8  28.1  24.0   MM +0.5    MM
2017 06 08 16 00 230  9.8   MM    MM    MM    MM  MM 1011.6  27.6    MM  24.5   MM +0.7    MM
2017 06 08 15 00 220  8.2  8.8    MM    MM    MM  MM 1011.4  27.6  27.9  25.2   MM +1.1    MM
2017 06 08 14 00 230 10.8 11.8    MM    MM    MM  MM 1010.9  27.8  27.8  25.4   MM +1.3    MM
2017 06 08 13 00 220 10.8 12.4    MM    MM    MM  MM 1010.9  27.9  27.7  25.2   MM +1.8    MM
2017 06 08 12 00 210  9.8 11.3    MM    MM    MM  MM 1010.3  27.8  27.6  25.0   MM +1.3    MM
2017 06 08 11 00 210  8.8  9.8    MM    MM    MM  MM 1009.6  27.5  27.6  25.3   MM   MM    MM
2017 06 08 10 00 220  8.8  9.8    MM    MM    MM  MM 1009.1  27.6  27.6  24.6   MM +0.0    MM
2017 06 08 09 00 210  9.3   MM    MM    MM    MM  MM 1009.0  27.3    MM  25.1   MM   MM    MM
2017 06 08 07 00 200  8.8   MM    MM    MM    MM  MM 1009.3  26.6  27.9  24.2   MM   MM    MM
2017 06 08 03 00 200  1.0  1.5    MM    MM    MM  MM 1011.2  24.5  28.3  23.4   MM   MM    MM
2017 06 08 02 00 310  4.6  5.1    MM    MM    MM  MM 1011.4  24.1  28.3  22.7   MM   MM    MM
