#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 13 11 00 360 10.8 12.4    MM    MM    MM  MM 1017.2  15.4  24.9    MM   MM +1.7    MM
2017 12 13 10 00  20  9.8 10.8    MM    MM    MM  MM 1016.4  16.1  25.0    MM   MM +1.1    MM
2017 12 13 09 00 360 12.4 13.9    MM    MM    MM  MM 1015.7  16.8  25.0    MM   MM -0.0    MM
2017 12 13 08 00 310  6.7  7.2    MM    MM    MM  MM 1015.5  20.2  25.0    MM   MM -0.7    MM
2017 12 13 07 00 280  4.6  5.1    MM    MM    MM  MM 1015.3  20.9  24.9    MM   MM -1.3    MM
2017 12 13 06 00 290  4.1  4.6    MM    MM    MM  MM 1015.7  20.5  24.9    MM   MM -0.9    MM
2017 12 13 05 00 300  3.6  4.1    MM    MM    MM  MM 1016.2  20.4  24.9    MM   MM +0.0    MM
2017 12 13 04 00 300  4.1  5.1    MM    MM    MM  MM 1016.6  20.1  24.8    MM   MM +0.5    MM
2017 12 13 03 00  MM   MM   MM    MM    MM    MM  MM 1016.6  20.2    MM    MM   MM +0.4    MM
2017 12 13 02 00 290  5.7  6.2    MM    MM    MM  MM 1016.3  20.5  24.8    MM   MM +0.0    MM
2017 12 13 01 00 260  5.7  6.2    MM    MM    MM  MM 1016.1  20.7  24.8    MM   MM +0.0    MM
2017 12 13 00 00 260  6.2  6.7    MM    MM    MM  MM 1016.2  20.5  24.8    MM   MM +0.4    MM
2017 12 12 23 00 260  6.7  7.2    MM    MM    MM  MM 1016.2  19.8  24.7    MM   MM +0.3    MM
2017 12 12 22 00 270  7.7  8.2    MM    MM    MM  MM 1016.1  19.2  24.7    MM   MM -0.4    MM
2017 12 12 21 00 270  7.2  7.7    MM    MM    MM  MM 1015.8  19.4  24.7    MM   MM -1.7    MM
2017 12 12 20 00 270  5.7  6.7    MM    MM    MM  MM 1015.9  19.7  24.6    MM   MM -2.6    MM
2017 12 12 19 00 270  2.1  2.6    MM    MM    MM  MM 1016.5  18.9  24.4    MM   MM -3.3    MM
2017 12 12 18 00 310  3.6  4.1    MM    MM    MM  MM 1017.5  18.2  24.3    MM   MM -2.7    MM
2017 12 12 17 00 340  5.1  6.2    MM    MM    MM  MM 1018.5  17.5  24.1    MM   MM -1.9    MM
2017 12 12 16 00 350  6.2  7.2    MM    MM    MM  MM 1019.8  16.4  23.9    MM   MM +0.0    MM
2017 12 12 15 00 340  6.2  7.2    MM    MM    MM  MM 1020.2  15.7  23.6    MM   MM +0.5    MM
2017 12 12 14 00 340  6.7  7.2    MM    MM    MM  MM 1020.4  15.1  23.6    MM   MM +1.1    MM
2017 12 12 13 00 340  6.2  7.7    MM    MM    MM  MM 1020.0  15.0  23.9    MM   MM +0.9    MM
2017 12 12 12 00 340  6.2  6.7    MM    MM    MM  MM 1019.7  14.9  24.2    MM   MM +0.5    MM
2017 12 12 11 00 360  5.1  5.1    MM    MM    MM  MM 1019.3  15.2  24.2    MM   MM -0.3    MM
